"url","pinner_avatar","board_id","pin_url","pin_no","index","batch"
"https://www.pinterest.com/naele/health/","https://s-media-cache-ak0.pinimg.com/avatars/naele_1337205986_30.jpg",90,"https://s-media-cache-ak0.pinimg.com/236x/fb/2f/b3/fb2fb352bfd6fecbd5a3e16153f615ed.jpg","126241595778316561",346,2
"https://www.pinterest.com/melbei91/health/","https://s-media-cache-ak0.pinimg.com/avatars/melbei91-1392386082_30.jpg",64,"https://s-media-cache-ak0.pinimg.com/236x/88/b5/05/88b505cca27273ffbf32d8a765d67318.jpg","20477373277369313",246,2
"https://www.pinterest.com/nelly149/health/","https://s-media-cache-ak0.pinimg.com/avatars/nelly149-1373321055_30.jpg",98,"https://s-media-cache-ak0.pinimg.com/236x/aa/da/cc/aadacc3ed43f343d8596e907fb767330.jpg","398357529513132768",379,2
"https://www.pinterest.com/jmdelcourt/health/","https://s-media-cache-ak0.pinimg.com/avatars/jmdelcourt_1344893822_30.jpg",55,"https://s-media-cache-ak0.pinimg.com/236x/80/bf/29/80bf2947c3ada4b2a45b2a083cf4de17.jpg","421086633878826956",219,2
"https://www.pinterest.com/lisamariapap/health/",NA,96,"https://s-media-cache-ak0.pinimg.com/236x/52/80/65/5280655df21fa299e973fc6b31112f9f.jpg","84372192992898658",373,2
"https://www.pinterest.com/sandysquillace/health/","https://s-media-cache-ak0.pinimg.com/avatars/sandy_squillace-79_30.jpg",87,"https://s-media-cache-ak0.pinimg.com/236x/a9/21/00/a921005608987018e6fb12610d9b8fd2.jpg","175288610467585016",332,2
"https://www.pinterest.com/nelly149/health/","https://s-media-cache-ak0.pinimg.com/avatars/nelly149-1373321055_30.jpg",98,"https://s-media-cache-ak0.pinimg.com/236x/6d/91/e9/6d91e9c96e16968089afb53d565a1c81.jpg","488570259545556298",380,2
"https://www.pinterest.com/brnwynbrwn/fitnesshealth/","https://s-media-cache-ak0.pinimg.com/avatars/brnwynbrwn_1412243811_30.jpg",91,"https://s-media-cache-ak0.pinimg.com/236x/02/f0/f2/02f0f28b9cea01e1205b0a77d088a466.jpg","8233211792976653",355,2
"https://www.pinterest.com/sallynerickson/health/","https://s-media-cache-ak0.pinimg.com/avatars/sallynerickson_1342488982_30.jpg",101,"https://s-media-cache-ak0.pinimg.com/236x/c2/5a/62/c25a62f23d10269c2c460fa76dfa0407.jpg","79798224618657265",395,2
"https://www.pinterest.com/creatviecopycat/health/","https://s-media-cache-ak0.pinimg.com/avatars/creatviecopycat-40_30.jpg",60,"https://s-media-cache-ak0.pinimg.com/236x/72/6b/19/726b192303a3e1403d7ca238ce07059e.jpg","167125836147663480",233,2
"https://www.pinterest.com/meganopoly5/health/","https://s-media-cache-ak0.pinimg.com/avatars/meganopoly5-66_30.jpg",93,"https://s-media-cache-ak0.pinimg.com/236x/39/6c/4b/396c4b544276f40398439c39fa712903.jpg","53058101837197587",363,2
"https://www.pinterest.com/nelly149/health/","https://s-media-cache-ak0.pinimg.com/avatars/nelly149-1373321055_30.jpg",98,"https://s-media-cache-ak0.pinimg.com/236x/48/38/f3/4838f397f0e5dd225466819e6037b540.jpg","39054721742440280",378,2
"https://www.pinterest.com/brnwynbrwn/fitnesshealth/","https://s-media-cache-ak0.pinimg.com/avatars/brnwynbrwn_1412243811_30.jpg",91,"https://s-media-cache-ak0.pinimg.com/236x/ff/ea/3d/ffea3d6cd3ff3d40d131db51f3e5ad0e.jpg","518125132104440041",353,2
"https://www.pinterest.com/giogic/health/","https://s-media-cache-ak0.pinimg.com/avatars/giogic_1333998149_30.jpg",66,"https://s-media-cache-ak0.pinimg.com/236x/96/5c/63/965c63ccfbc3f029611828435ee827e3.jpg","472244710898668398",258,2
"https://www.pinterest.com/anniekantz/health/","https://s-media-cache-ak0.pinimg.com/avatars/anniekantz_1343182574_30.jpg",53,"https://s-media-cache-ak0.pinimg.com/236x/cd/9d/ed/cd9dedb5fd60ba79ea84f3c53f1db84a.jpg","109282728433268261",207,2
"https://www.pinterest.com/kkfrieze7/health/","https://s-media-cache-ak0.pinimg.com/avatars/kkfrieze7_1343486808_30.jpg",61,"https://s-media-cache-ak0.pinimg.com/236x/e5/b7/55/e5b7557177319a81713cd68afc4f1f4f.jpg","13299761376124395",236,2
"https://www.pinterest.com/twilightplay/health/",NA,70,"https://s-media-cache-ak0.pinimg.com/236x/8f/7f/aa/8f7faa7409224d6234e5b0fbbd71f7e7.jpg","503910645780652293",274,2
"https://www.pinterest.com/anniekantz/health/","https://s-media-cache-ak0.pinimg.com/avatars/anniekantz_1343182574_30.jpg",53,"https://s-media-cache-ak0.pinimg.com/236x/51/81/56/518156d4d4b1b75e27ef1f645601c93e.jpg","218283913163431629",208,2
"https://www.pinterest.com/hsvmum/health/","https://s-media-cache-ak0.pinimg.com/avatars/hsvmum_1337062864_30.jpg",58,"https://s-media-cache-ak0.pinimg.com/236x/37/55/b9/3755b9ee3742501c94f0a5207a3be6f5.jpg","88242473925700276",230,2
"https://www.pinterest.com/ashley0112/health/","https://s-media-cache-ak0.pinimg.com/avatars/ashley0112-1403136821_30.jpg",89,"https://s-media-cache-ak0.pinimg.com/236x/d8/37/4f/d8374f360d49e1ea2b77183ef47e0014.jpg","161074124148485953",342,2
"https://www.pinterest.com/alyssastephano/health/",NA,82,"https://s-media-cache-ak0.pinimg.com/236x/fc/2c/d1/fc2cd1ba4b7c1c1f1ad0a69f4208686d.jpg","125819383316791591",316,2
"https://www.pinterest.com/twilightplay/health/",NA,70,"https://s-media-cache-ak0.pinimg.com/236x/a3/dd/7d/a3dd7df3a5d9ca87861dde71e36bea95.jpg","503910645780652293",275,2
"https://www.pinterest.com/sally_bahler/health/","https://s-media-cache-ak0.pinimg.com/avatars/sally_bahler_1398152328_30.jpg",67,"https://s-media-cache-ak0.pinimg.com/236x/8d/4f/e7/8d4fe7880261c69007ac0da5c7bb28db.jpg","338332990726621269",262,2
"https://www.pinterest.com/duracell63/health/","https://s-media-cache-ak0.pinimg.com/avatars/duracell63-1382364184_30.jpg",94,"https://s-media-cache-ak0.pinimg.com/236x/70/ec/1f/70ec1f23303cbf4fa2488e00a357b68d.jpg","410812797229188759",368,2
"https://www.pinterest.com/mariliedesigns/health/","https://s-media-cache-ak0.pinimg.com/avatars/mariliedesigns-1386645800_30.jpg",81,"https://s-media-cache-ak0.pinimg.com/236x/ce/68/28/ce6828f54d1913b7349551ccdb54c5aa.jpg","263460646925342262",311,2
"https://www.pinterest.com/sallynerickson/health/","https://s-media-cache-ak0.pinimg.com/avatars/sallynerickson_1342488982_30.jpg",101,"https://s-media-cache-ak0.pinimg.com/236x/97/5a/ec/975aec5dd5884ac78a98017a2c4c7871.jpg","297308012870365000",394,2
"https://www.pinterest.com/mariebrigitt/health/","https://s-media-cache-ak0.pinimg.com/avatars/mariebrigitt_1328170839_30.jpg",76,"https://s-media-cache-ak0.pinimg.com/236x/78/5d/5e/785d5e4eeffebbe3fef67d6fc80cdbec.jpg","272608583669377368",299,2
